Nombre,Puntuación,Precio,Descripción,Link
"Excursión a las Rías Baixas, isla de Arosa y Combarro",9.1,42,"Los paisajes de las Rías Baixas cautivan a todos. En esta excursión visitaremos bellos lugares como Padrón, Arosa, Cambados, La Toja y Combarro. ¡Os encantarán!",https://www.civitatis.com/es/santiago-de-compostela/rias-baixas-isla-arosa-combarro/
Free tour por Santiago de Compostela,9.3,0,"Recorre el centro histórico de Santiago de Compostela y descubre el conjunto monumental de esta ciudad Patrimonio de la Humanidad. Además, ¡es gratis!",https://www.civitatis.com/es/santiago-de-compostela/visita-guiada-santiago-compostela/
Excursión a Finisterre y Costa da Morte de día completo,8.7,49,Dejaos cautivar por los paisajes del cabo Finisterre y la Costa da Morte en esta excursión de día completo por una de las zonas más bellas del litoral gallego.,https://www.civitatis.com/es/santiago-de-compostela/excursion-finisterre-costa-morte/
Visita guiada por la Catedral de Santiago,9.2,15,Descubrid uno de los iconos de la capital de Galicia en esta visita guiada por la Catedral de Santiago de Compostela. ¡Una actividad imprescindible!,https://www.civitatis.com/es/santiago-de-compostela/visita-guiada-museo-catedral-santiago/
Excursión a las Rías Baixas + Visita a una bodega,8.9,42,"Una bodega de albariño, un paseo en barco por la Isla de La Toja, Combarro, la playa de La Lanzada… Hacer una excursión a las Rías Baixas es imprescindible.",https://www.civitatis.com/es/santiago-de-compostela/excursion-rias-baixas-visita-bodega/
Free tour de los misterios y leyendas de Santiago,9.4,0,En este free tour exploraremos los rincones más oscuros de Santiago y escucharemos sucesos que habrían hecho a más de un peregrino dar media vuelta.,https://www.civitatis.com/es/santiago-de-compostela/tour-teatralizado-misterios-leyendas/
Excursión a Finisterre y Mugía,9.2,36,En esta excursión a Finisterre y Mugía disfrutaremos de estas localidades de la Costa de la Muerte en un mismo día y visitaremos el mirador del Fin del Mundo.,https://www.civitatis.com/es/santiago-de-compostela/excursion-finisterre-mugia/
Tour de Santiago de Compostela al completo con entradas,9.5,45,"La plaza del Obradoiro, la Catedral, el Pórtico de la Gloria y el Hostal de los Reyes Católicos protagonizan este tour de Santiago de Compostela al completo.",https://www.civitatis.com/es/santiago-de-compostela/tour-santiago-compostela-completo/
Tour privado por Santiago ¡Tú eliges!,9.4,55,En este tour privado descubriréis el centro histórico de Santiago de Compostela con un guía en exclusiva que os mostrará los principales puntos turísticos.,https://www.civitatis.com/es/santiago-de-compostela/tour-privado-santiago/
Free tour por el Santiago oculto,9.5,0,Dejaos sorprender en este free tour por el Santiago oculto por las historias más increíbles de la ciudad mientras exploramos sus principales monumentos.,https://www.civitatis.com/es/santiago-de-compostela/free-tour-santiago-oculto/
Tour de los templarios por Santiago,9.5,15,"Traiciones, secretos, leyendas... En este tour de los templarios por Santiago de Compostela descubriremos los grandes enigmas que rodean a la Orden del Temple.",https://www.civitatis.com/es/santiago-de-compostela/tour-templarios-santiago/
"Excursión a Finisterre, Mugía y Cabo Vilán + Paseo en barco",8.6,54,"Los faros más bonitos de Galicia nos aguardan en esta excursión a Finisterre, Mugía y Cabo Vilán. Además, daremos un paseo en barco por la Costa da Morte.",https://www.civitatis.com/es/santiago-de-compostela/finisterre-mugia-cabo-vilan-barco/
Tour en 4x4 por La Coruña y Pontevedra,9.8,129,Historia y naturaleza os esperan en este tour en 4x4 por La Coruña y Pontevedra. Una experiencia en la que conoceremos las dos provincias de forma muy especial.,https://www.civitatis.com/es/santiago-de-compostela/tour-4x4-la-coruna-pontevedra/
Tour de misterios con cena típica gallega,8.9,75,"Cuando cae la noche, la ciudad compostelana se transforma. Descubrid los misterios de Santiago en este tour que incluye una cena gallega con queimada.",https://www.civitatis.com/es/santiago-de-compostela/tour-misterios-leyendas-santiago/
"Tour por la Ciudad de la Cultura, Pazo de Rivadulla y Colegiata del Sar",10.0,28,"En este tour por los alrededores de Santiago de Compostela visitaremos la Ciudad de la Cultura, el Pazo de Rivadulla y la Colegiata del Sar. ¡Os sorprenderán!",https://www.civitatis.com/es/santiago-de-compostela/ciudad-cultura-pazo-rivadulla-colegiata-sar/
Taller de queimada,8.4,12,"Si queréis descubrir cómo hacer una queimada y aprender a recitar un conxuro, en este taller en Santiago os adentraréis en el mundo de las meigas gallegas.",https://www.civitatis.com/es/santiago-de-compostela/taller-queimada/
Free tour de las mujeres ilustres de Santiago de Compostela,,0,En este free tour de las mujeres ilustres de Santiago de Compostela conoceremos la historia de los personajes femeninos más importantes de la capital gallega.,https://www.civitatis.com/es/santiago-de-compostela/free-tour-mujeres-ilustres-santiago/
Tour gastronómico por Santiago de Compostela + Visita a la Catedral,9.2,65,"Los sabores de Galicia son únicos. Para comprobarlo, no hay nada mejor que hacer este tour gastronómico por Santiago de Compostela. ¡Sencillamente delicioso!",https://www.civitatis.com/es/santiago-de-compostela/tour-gastronomico-santiago/
Tour privado por la Catedral de Santiago y su museo,9.6,65,En este tour privado por la Catedral de Santiago descubriréis las maravillas de uno de los templos más importantes de España con un guía en exclusiva.,https://www.civitatis.com/es/santiago-de-compostela/tour-privado-catedral-santiago/
Free tour por el Santiago contemporáneo,9.3,0,"Si os apasiona la arquitectura y queréis descubrir una cara desconocida de la capital de Galicia, este free tour por el Santiago contemporáneo es para vosotros.",https://www.civitatis.com/es/santiago-de-compostela/free-tour-santiago-modernista/
Cata de quesos y vinos en Santiago,,29,"Si estáis en Santiago de Compostela, no podéis dejar de probar los sabores típicos de la gastronómica de Galicia en esta cata de quesos y vinos. ¡A brindar!",https://www.civitatis.com/es/santiago-de-compostela/cata-quesos-vinos-santiago/
