nombre,numero_reviews,rating,precio_medio_por noche,ciudad,servicios,link
Andante Hotel,2818,4.5,195.5,Barcelona,"['Free Wifi', 'Pool', 'Outdoor pool', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187497-d2545026-Reviews-Andante_Hotel-Barcelona_Catalonia.html
Travelodge Barcelona Poblenou,2625,4.0,122.0,Barcelona,"['Restaurant', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d3533952-Reviews-Travelodge_Barcelona_Poblenou-Barcelona_Catalonia.html
Hotel Astoria,1901,4.5,175.5,Barcelona,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187497-d228590-Reviews-Hotel_Astoria-Barcelona_Catalonia.html
Majestic Hotel & Spa Barcelona,4263,4.5,446.0,Barcelona,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187497-d190616-Reviews-Majestic_Hotel_Spa_Barcelona-Barcelona_Catalonia.html
Oriente Atiram Hotel,2480,4.0,188.0,Barcelona,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d250390-Reviews-Oriente_Atiram_Hotel-Barcelona_Catalonia.html
H10 Madison,1289,5.0,310.5,Barcelona,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187497-d13223478-Reviews-H10_Madison-Barcelona_Catalonia.html
Hyatt Regency Barcelona Tower,3567,4.5,241.0,Barcelona,"['Free Wifi', 'Pool', 'Heated pool', 'Indoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187497-d630596-Reviews-Hyatt_Regency_Barcelona_Tower-Barcelona_Catalonia.html
Seventy Barcelona,1204,5.0,340.5,Barcelona,"['Free Wifi', 'Pool', 'Indoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187497-d19092478-Reviews-Seventy_Barcelona-Barcelona_Catalonia.html
Hotel Arc La Rambla,3698,4.5,179.0,Barcelona,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187497-d232778-Reviews-Hotel_Arc_La_Rambla-Barcelona_Catalonia.html
Hotel Alimara Barcelona,1163,4.0,143.5,Barcelona,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187497-d228464-Reviews-Hotel_Alimara_Barcelona-Barcelona_Catalonia.html
Tres Torres Atiram Hotel,582,4.0,154.0,Barcelona,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d231529-Reviews-Tres_Torres_Atiram_Hotel-Barcelona_Catalonia.html
Catalonia Barcelona Plaza,3911,4.0,229.0,Barcelona,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187497-d229676-Reviews-Catalonia_Barcelona_Plaza-Barcelona_Catalonia.html
Torre Melina Gran Meliá,47,4.0,303.5,Barcelona,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187497-d208210-Reviews-Torre_Melina_Gran_Melia-Barcelona_Catalonia.html
Casa Camper Hotel Barcelona,2632,5.0,318.5,Barcelona,"['Free Wifi', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html
INNSiDE by Meliá Barcelona Apolo,143,4.5,254.0,Barcelona,"['Free Wifi', 'Restaurant', 'Room service', 'Pets Allowed', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d231502-Reviews-INNSiDE_by_Melia_Barcelona_Apolo-Barcelona_Catalonia.html
ibis Styles Barcelona City Bogatell,1119,4.5,179.5,Barcelona,"['Free Wifi', 'Breakfast included', 'Pool', 'Outdoor pool', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d10670124-Reviews-Ibis_Styles_Barcelona_City_Bogatell-Barcelona_Catalonia.html
Catalonia Magdalenes,1564,5.0,278.0,Barcelona,"['Free Wifi', 'Pool', 'Heated pool', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187497-d10062222-Reviews-Catalonia_Magdalenes-Barcelona_Catalonia.html
Travelodge Barcelona Fira,424,4.0,128.5,Barcelona,"['Restaurant', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d601350-Reviews-Travelodge_Barcelona_Fira-Barcelona_Catalonia.html
Hotel Catalonia Park Güell,1417,3.5,135.5,Barcelona,"['Free Wifi', 'Outdoor pool', 'Restaurant', 'Room service', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187497-d236194-Reviews-Hotel_Catalonia_Park_Guell-Barcelona_Catalonia.html
W Barcelona,8294,4.0,491.0,Barcelona,"['Free Wifi', 'Beachfront', 'Pool', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187497-d1465497-Reviews-W_Barcelona-Barcelona_Catalonia.html
Hotel Well and Come,1742,4.5,228.0,Barcelona,"['Free Wifi', 'Pool', 'Outdoor pool', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187497-d8956703-Reviews-Hotel_Well_and_Come-Barcelona_Catalonia.html
Hotel Colón,3042,4.5,331.0,Barcelona,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d190823-Reviews-Hotel_Colon-Barcelona_Catalonia.html
NH Collection Barcelona Podium,1496,4.5,246.5,Barcelona,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187497-d206920-Reviews-NH_Collection_Barcelona_Podium-Barcelona_Catalonia.html
Sixtytwo Hotel,2811,4.5,314.0,Barcelona,"['Free Wifi', 'Airport transportation', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d1501787-Reviews-Sixtytwo_Hotel-Barcelona_Catalonia.html
Generator Barcelona,2389,4.0,134.5,Barcelona,"['Free Wifi', 'Restaurant', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d3540235-Reviews-Generator_Barcelona-Barcelona_Catalonia.html
Casa Gracia,1937,4.0,171.0,Barcelona,"['Free Wifi', 'Airport transportation', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d1948832-Reviews-Casa_Gracia-Barcelona_Catalonia.html
Ibis Barcelona Meridiana,1478,4.0,122.0,Barcelona,"['Free Wifi', 'Restaurant', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d231518-Reviews-Ibis_Barcelona_Meridiana-Barcelona_Catalonia.html
Can Seuba,17,4.0,71.0,Barcelona,"['Free Wifi', 'Pets Allowed', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187497-d2663628-Reviews-Can_Seuba-Barcelona_Catalonia.html
Hotel 1898,6766,4.5,317.5,Barcelona,"['Free Wifi', 'Pool', 'Heated pool', 'Indoor pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187497-d506158-Reviews-Hotel_1898-Barcelona_Catalonia.html
Barceló Sants,5798,4.5,181.0,Barcelona,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187497-d228507-Reviews-Barcelo_Sants-Barcelona_Catalonia.html
